path_id,game_object,script_path_id,name,enabled
72,,,ShadowOnly-r,
73,,,Light (6),
74,,,effect,
75,,,rainparticle,
76,,,Cube,
77,,,Cube (7),
78,,,realtime,
79,,,Point Light (5),
80,,,ShadowOnly-b,
1087,30,62,,1
1088,64,35,,1
1089,44,48,,1
1090,13,54,,1
1091,15,37,,1
1092,19,54,,1
1093,198,37,,1
1094,203,37,,1
1095,231,45,,1
1096,196,37,,1
1097,29,65,,0
1098,29,42,,1
1099,31,54,,1
1100,35,54,,1
1101,37,65,,0
1102,37,42,,1
1103,38,54,,1
1104,41,54,,1
1105,44,34,,1
1106,49,54,,1
1107,52,54,,1
1108,53,37,,1
1109,54,54,,1
1110,56,54,,1
1111,57,65,,0
1112,57,42,,1
1113,59,54,,1
1114,62,47,,1
1115,64,49,,1
1116,64,58,,1
1117,67,54,,1
1118,68,37,,1
1119,247,57,,1
1120,70,65,,0
1121,70,42,,1
1122,71,40,,1
1123,73,54,,1
1124,74,37,,1
1125,78,37,,1
1126,79,54,,1
1127,83,54,,1
1128,85,54,,1
1129,90,54,,1
1130,93,36,,1
1131,94,54,,1
1132,97,54,,1
1133,98,54,,1
1134,104,54,,1
1135,107,37,,1
1136,115,53,,1
1137,191,37,,1
1138,247,44,,1
1139,191,50,,1
1140,194,46,,1
1141,233,43,,1
1142,247,52,,0
1143,247,43,,1
1144,247,38,,1
1145,247,56,,1
1146,289,45,,1
1147,290,45,,1
1148,288,45,,1
1149,294,45,,1
1150,292,45,,1
1151,293,45,,1
1152,291,45,,1
1153,295,45,,1
1154,296,45,,1
1155,297,45,,1
1156,279,45,,1
1157,280,45,,1
1158,281,45,,1
1159,277,45,,1
1160,278,45,,1
1161,285,45,,1
1162,284,45,,1
1163,282,45,,1
1164,283,45,,1
1165,286,45,,1
1166,287,45,,1
1167,271,45,,1
1168,273,45,,1
1169,272,45,,1
1170,274,45,,1
1171,276,45,,1
1172,275,45,,1
1173,265,45,,1
1174,264,45,,1
1175,263,45,,1
1176,266,45,,1
1177,267,45,,1
1178,270,45,,1
1179,269,45,,1
1180,268,45,,1
1181,303,60,,1
1182,247,67,,1
