path_id,game_object,script_path_id,name,enabled
74,,,Cube,
75,,,Cube,
76,,,Cube,
77,,,Cube,
78,,,Cube,
79,,,Cube,
80,,,Cube,
2441,31,55,,1
2442,8,54,,1
2443,10,54,,1
2444,11,54,,1
2445,12,59,,1
2446,14,67,,1
2447,15,54,,1
2448,18,54,,1
2449,19,54,,1
2450,20,60,,1
2451,22,54,,1
2452,23,54,,1
2453,26,54,,1
2454,27,60,,1
2455,362,60,,1
2456,30,54,,1
2457,31,50,,1
2458,32,54,,1
2459,35,54,,1
2460,36,48,,1
2461,37,54,,1
2462,38,63,,1
2463,38,62,,1
2464,38,56,,1
2465,378,47,,1
2466,40,54,,1
2467,44,54,,1
2468,45,54,,1
2469,46,54,,1
2470,387,51,,1
2471,379,49,,1
2472,387,58,,0
2473,387,49,,1
2474,377,45,,1
2475,687,44,,1
2476,688,44,,1
2477,689,44,,1
2478,690,44,,1
2479,691,44,,1
2480,692,44,,1
2481,342,52,,1
2482,343,52,,1
2483,341,52,,1
2484,340,52,,1
2485,345,52,,1
2486,344,52,,1
2487,387,42,,1
2488,387,61,,1
2489,619,53,,1
2490,620,53,,1
2491,617,53,,1
2492,618,53,,1
2493,621,53,,1
2494,622,53,,1
2495,623,53,,1
2496,611,53,,1
2497,607,53,,1
2498,608,53,,1
2499,609,53,,1
2500,610,53,,1
2501,616,53,,1
2502,612,53,,1
2503,615,53,,1
2504,614,53,,1
2505,613,53,,1
2506,637,53,,1
2507,636,53,,1
2508,632,53,,1
2509,633,53,,1
2510,635,53,,1
2511,634,53,,1
2512,639,53,,1
2513,638,53,,1
2514,624,53,,1
2515,625,53,,1
2516,626,53,,1
2517,627,53,,1
2518,630,53,,1
2519,631,53,,1
2520,628,53,,1
2521,629,53,,1
2522,653,53,,1
2523,654,53,,1
2524,655,53,,1
2525,651,53,,1
2526,652,53,,1
2527,658,53,,1
2528,656,53,,1
2529,657,53,,1
2530,643,53,,1
2531,640,53,,1
2532,642,53,,1
2533,641,53,,1
2534,649,53,,1
2535,648,53,,1
2536,650,53,,1
2537,644,53,,1
2538,645,53,,1
2539,646,53,,1
2540,647,53,,1
2541,670,53,,1
2542,669,53,,1
2543,673,53,,1
2544,672,53,,1
2545,674,53,,1
2546,671,53,,1
2547,660,53,,1
2548,661,53,,1
2549,662,53,,1
2550,663,53,,1
2551,664,53,,1
2552,659,53,,1
2553,668,53,,1
2554,667,53,,1
2555,665,53,,1
2556,666,53,,1
2557,543,53,,1
2558,545,53,,1
2559,544,53,,1
2560,547,53,,1
2561,546,53,,1
2562,541,53,,1
2563,542,53,,1
2564,548,53,,1
2565,549,53,,1
2566,536,53,,1
2567,537,53,,1
2568,534,53,,1
2569,535,53,,1
2570,538,53,,1
2571,539,53,,1
2572,540,53,,1
2573,564,53,,1
2574,565,53,,1
2575,562,53,,1
2576,561,53,,1
2577,563,53,,1
2578,567,53,,1
2579,568,53,,1
2580,569,53,,1
2581,570,53,,1
2582,566,53,,1
2583,552,53,,1
2584,553,53,,1
2585,554,53,,1
2586,555,53,,1
2587,550,53,,1
2588,551,53,,1
2589,558,53,,1
2590,559,53,,1
2591,560,53,,1
2592,556,53,,1
2593,557,53,,1
2594,582,53,,1
2595,583,53,,1
2596,584,53,,1
2597,574,53,,1
2598,575,53,,1
2599,576,53,,1
2600,577,53,,1
2601,571,53,,1
2602,572,53,,1
2603,573,53,,1
2604,580,53,,1
2605,581,53,,1
2606,578,53,,1
2607,579,53,,1
2608,598,53,,1
2609,599,53,,1
2610,600,53,,1
2611,605,53,,1
2612,606,53,,1
2613,601,53,,1
2614,602,53,,1
2615,603,53,,1
2616,604,53,,1
2617,590,53,,1
2618,589,53,,1
2619,585,53,,1
2620,586,53,,1
2621,588,53,,1
2622,587,53,,1
2623,595,53,,1
2624,596,53,,1
2625,597,53,,1
2626,592,53,,1
2627,591,53,,1
2628,593,53,,1
2629,594,53,,1
2630,464,53,,1
2631,465,53,,1
2632,463,53,,1
2633,466,53,,1
2634,467,53,,1
2635,468,53,,1
2636,458,53,,1
2637,456,53,,1
2638,457,53,,1
2639,461,53,,1
2640,462,53,,1
2641,459,53,,1
2642,460,53,,1
2643,485,53,,1
2644,486,53,,1
2645,487,53,,1
2646,484,53,,1
2647,483,53,,1
2648,493,53,,1
2649,494,53,,1
2650,488,53,,1
2651,489,53,,1
2652,490,53,,1
2653,492,53,,1
2654,491,53,,1
2655,473,53,,1
2656,472,53,,1
2657,474,53,,1
2658,475,53,,1
2659,476,53,,1
2660,469,53,,1
2661,470,53,,1
2662,471,53,,1
2663,480,53,,1
2664,481,53,,1
2665,482,53,,1
2666,477,53,,1
2667,478,53,,1
2668,479,53,,1
2669,510,53,,1
2670,511,53,,1
2671,508,53,,1
2672,509,53,,1
2673,515,53,,1
2674,512,53,,1
2675,513,53,,1
2676,514,53,,1
2677,497,53,,1
2678,499,53,,1
2679,498,53,,1
2680,500,53,,1
2681,501,53,,1
2682,502,53,,1
2683,495,53,,1
2684,496,53,,1
2685,505,53,,1
2686,504,53,,1
2687,506,53,,1
2688,507,53,,1
2689,503,53,,1
2690,524,53,,1
2691,525,53,,1
2692,526,53,,1
2693,527,53,,1
2694,521,53,,1
2695,522,53,,1
2696,523,53,,1
2697,530,53,,1
2698,531,53,,1
2699,532,53,,1
2700,533,53,,1
2701,528,53,,1
2702,529,53,,1
2703,516,53,,1
2704,517,53,,1
2705,518,53,,1
2706,520,53,,1
2707,519,53,,1
2708,402,53,,1
2709,400,53,,1
2710,401,53,,1
2711,404,53,,1
2712,405,53,,1
2713,403,53,,1
2714,392,53,,1
2715,393,53,,1
2716,390,53,,1
2717,391,53,,1
2718,397,53,,1
2719,398,53,,1
2720,399,53,,1
2721,394,53,,1
2722,395,53,,1
2723,396,53,,1
2724,411,53,,1
2725,412,53,,1
2726,413,53,,1
2727,414,53,,1
2728,417,53,,1
2729,416,53,,1
2730,415,53,,1
2731,422,53,,1
2732,423,53,,1
2733,418,53,,1
2734,419,53,,1
2735,420,53,,1
2736,421,53,,1
2737,408,53,,1
2738,406,53,,1
2739,407,53,,1
2740,410,53,,1
2741,409,53,,1
2742,433,53,,1
2743,434,53,,1
2744,430,53,,1
2745,431,53,,1
2746,432,53,,1
2747,436,53,,1
2748,435,53,,1
2749,424,53,,1
2750,427,53,,1
2751,428,53,,1
2752,429,53,,1
2753,425,53,,1
2754,426,53,,1
2755,449,53,,1
2756,448,53,,1
2757,450,53,,1
2758,445,53,,1
2759,444,53,,1
2760,446,53,,1
2761,447,53,,1
2762,453,53,,1
2763,454,53,,1
2764,455,53,,1
2765,451,53,,1
2766,452,53,,1
2767,439,53,,1
2768,438,53,,1
2769,437,53,,1
2770,443,53,,1
2771,440,53,,1
2772,441,53,,1
2773,442,53,,1
2774,694,64,,1
2775,389,60,,1
2776,696,60,,1
2777,697,41,,1
2778,698,60,,1
2779,387,70,,1
